TestId , Instruction , Status , Author , Message
1-add , add , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
2-addi , addi , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
3-addi_overflow , addi , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
4-addi_signed-overflow , addi , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
5-addi_sign-extend , addi , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
6-addiu , addiu , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
7-addiu_overflow , addiu , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
8-addiu_signed-overflow , addiu , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
9-addiu_sign-extend , addiu , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
10-add_overflow , add , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
11-add_signed-overflow , add , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
12-addu , addu , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
13-addu_zero , addu , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
14-add_zero , add , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
15-andi_simple-test1 , andi , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
16-andi_simple-test2 , andi , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
17-andi_zero-extension , andi , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
18-and_simple-test1 , and , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
19-and_simple-test2 , and , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
20-beq_double-branch , beq , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
21-beq_false-positive , beq , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
22-beq_negative-offset , beq , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
23-beq_true-positive , beq , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
24-bgez_0-positive , bgez , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
25-bgezal_0-positive , bgezal , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
